                      column  non null ratio  unique  numneric_ratio  datetime_ratio                                                                                        sample_values
              apartments_avg            0.49    2339            0.49             0.0                                                               0.0247, 0.0959, 0.0825, 0.1474, 0.3495
            basementarea_avg            0.41    3780            0.41             0.0                                                               0.0369, 0.0529, 0.0973, 0.1335, 0.0617
 years_beginexpluatation_avg            0.51     285            0.51             0.0                                                               0.9722, 0.9851, 0.9811, 0.9806, 0.9985
             years_build_avg            0.34     149            0.34             0.0                                                   0.6192, 0.7959999999999999, 0.7348, 0.9796, 0.8368
              commonarea_avg            0.30    3181            0.30             0.0                                                               0.0143, 0.0605, 0.0582, 0.1143, 0.0018
               elevators_avg            0.47     257            0.47             0.0                                                                           0.0, 0.08, 0.16, 0.4, 0.14
               entrances_avg            0.50     285            0.50             0.0                                                                0.069, 0.0345, 0.2069, 0.1379, 0.1724
               floorsmax_avg            0.50     403            0.50             0.0                                                               0.0833, 0.2917, 0.1667, 0.3333, 0.6667
               floorsmin_avg            0.32     305            0.32             0.0                                                                 0.125, 0.3333, 0.375, 0.7083, 0.0417
                landarea_avg            0.41    3527            0.41             0.0                                                                0.0369, 0.013, 0.0135, 0.0931, 0.1758
        livingapartments_avg            0.32    1868            0.32             0.0                                                               0.0202, 0.0773, 0.1202, 0.2849, 0.0227
              livingarea_avg            0.50    5199            0.50             0.0                                                                0.019, 0.0549, 0.0778, 0.1397, 0.3774
     nonlivingapartments_avg            0.31     386            0.31             0.0                                                                  0.0, 0.0039, 0.0193, 0.0077, 0.0019
           nonlivingarea_avg            0.45    3290            0.45             0.0                                                                  0.0, 0.0098, 0.1001, 0.0044, 0.0007
             apartments_mode            0.49     760            0.49             0.0                                                                0.0252, 0.0924, 0.084, 0.1502, 0.3561
           basementarea_mode            0.41    3841            0.41             0.0                                                                 0.0383, 0.0538, 0.101, 0.1386, 0.064
years_beginexpluatation_mode            0.51     221            0.51             0.0                                                               0.9722, 0.9851, 0.9811, 0.9806, 0.9985
            years_build_mode            0.34     154            0.34             0.0                                                                0.6341, 0.804, 0.7452, 0.9804, 0.8432
             commonarea_mode            0.30    3128            0.30             0.0                                                               0.0144, 0.0497, 0.0587, 0.1153, 0.0018
              elevators_mode            0.47      26            0.47             0.0                                                                  0.0, 0.0806, 0.1611, 0.4028, 0.1208
              entrances_mode            0.50      30            0.50             0.0                                                                0.069, 0.0345, 0.2069, 0.1379, 0.1724
              floorsmax_mode            0.50      25            0.50             0.0                                                               0.0833, 0.2917, 0.1667, 0.3333, 0.6667
              floorsmin_mode            0.32      25            0.32             0.0                                                                 0.125, 0.3333, 0.375, 0.7083, 0.0417
               landarea_mode            0.41    3563            0.41             0.0                                                               0.0377, 0.0128, 0.0138, 0.0952, 0.1798
       livingapartments_mode            0.32     736            0.32             0.0                                                                 0.022, 0.079, 0.1313, 0.3113, 0.0248
             livingarea_mode            0.50    5301            0.50             0.0                                                                0.0198, 0.0554, 0.081, 0.1456, 0.3932
    nonlivingapartments_mode            0.31     167            0.31             0.0                                                                  0.0, 0.0195, 0.0078, 0.0039, 0.0661
          nonlivingarea_mode            0.45    3327            0.45             0.0                                                                   0.0, 0.106, 0.0047, 0.0045, 0.0065
             apartments_medi            0.49    1148            0.49             0.0                                                                0.025, 0.0968, 0.0833, 0.1489, 0.3529
           basementarea_medi            0.41    3772            0.41             0.0                                                               0.0369, 0.0529, 0.0973, 0.1335, 0.0617
years_beginexpluatation_medi            0.51     245            0.51             0.0                                                               0.9722, 0.9851, 0.9811, 0.9806, 0.9985
            years_build_medi            0.34     151            0.34             0.0                                                   0.6243, 0.7987, 0.7383, 0.9799, 0.8390000000000001
             commonarea_medi            0.30    3202            0.30             0.0                                                                0.0144, 0.0608, 0.0585, 0.115, 0.0018
              elevators_medi            0.47      46            0.47             0.0                                                                           0.0, 0.08, 0.16, 0.4, 0.14
              entrances_medi            0.50      46            0.50             0.0                                                                0.069, 0.0345, 0.2069, 0.1379, 0.1724
              floorsmax_medi            0.50      49            0.50             0.0                                                               0.0833, 0.2917, 0.1667, 0.3333, 0.6667
              floorsmin_medi            0.32      47            0.32             0.0                                                                 0.125, 0.3333, 0.375, 0.7083, 0.0417
               landarea_medi            0.41    3560            0.41             0.0                                                               0.0375, 0.0132, 0.0137, 0.0947, 0.1789
       livingapartments_medi            0.32    1097            0.32             0.0                                                               0.0205, 0.0787, 0.1223, 0.2899, 0.0231
             livingarea_medi            0.50    5281            0.50             0.0                                                               0.0193, 0.0558, 0.0792, 0.1422, 0.3842
    nonlivingapartments_medi            0.31     214            0.31             0.0                                                                  0.0, 0.0039, 0.0194, 0.0078, 0.0019
          nonlivingarea_medi            0.45    3323            0.45             0.0                                                                    0.0, 0.01, 0.1022, 0.0045, 0.0007
          fondkapremont_mode            0.32       4            0.00             0.0                             reg oper account, org spec account, reg oper spec account, not specified
              housetype_mode            0.50       3            0.00             0.0                                                     block of flats, terraced house, specific housing
              totalarea_mode            0.52    5116            0.52             0.0                                                               0.0149, 0.0714, 0.0612, 0.1417, 0.3811
          wallsmaterial_mode            0.49       7            0.00             0.0                                                            Stone, brick, Block, Panel, Mixed, Wooden
         emergencystate_mode            0.53       2            0.00             0.0                                                                                              No, Yes
    obs_30_cnt_social_circle            1.00      33            1.00             0.0                                                                              2.0, 1.0, 0.0, 4.0, 8.0
    def_30_cnt_social_circle            1.00      10            1.00             0.0                                                                              2.0, 0.0, 1.0, 3.0, 4.0
    obs_60_cnt_social_circle            1.00      33            1.00             0.0                                                                              2.0, 1.0, 0.0, 4.0, 8.0
    def_60_cnt_social_circle            1.00       9            1.00             0.0                                                                              2.0, 0.0, 1.0, 3.0, 5.0
      days_last_phone_change            1.00    3773            1.00             0.0                                                             -1134.0, -828.0, -815.0, -617.0, -1106.0
             flag_document_2            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_3            1.00       2            1.00             0.0                                                                                                 1, 0
             flag_document_4            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_5            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_6            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_7            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_8            1.00       2            1.00             0.0                                                                                                 0, 1
             flag_document_9            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_10            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_11            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_12            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_13            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_14            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_15            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_16            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_17            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_18            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_19            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_20            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_document_21            1.00       2            1.00             0.0                                                                                                 0, 1
  amt_req_credit_bureau_hour            0.86       5            0.86             0.0                                                                              0.0, 1.0, 2.0, 3.0, 4.0
   amt_req_credit_bureau_day            0.86       9            0.86             0.0                                                                              0.0, 1.0, 3.0, 2.0, 4.0
  amt_req_credit_bureau_week            0.86       9            0.86             0.0                                                                              0.0, 1.0, 3.0, 2.0, 4.0
   amt_req_credit_bureau_mon            0.86      24            0.86             0.0                                                                              0.0, 1.0, 2.0, 6.0, 5.0
   amt_req_credit_bureau_qrt            0.86      11            0.86             0.0                                                                              0.0, 1.0, 2.0, 4.0, 3.0
  amt_req_credit_bureau_year            0.86      25            0.86             0.0                                                                              1.0, 0.0, 2.0, 4.0, 5.0
